domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|headline|recognition_statement|recognition_expansion|status|lookup_key
leadership-approach|results_process_vision_people|concentrated|results|process|vision|people|You may be recognised for Results first|You may recognise yourself in the way you notice drift, slow decisions, or unclear ownership before anything else. Others may experience clearer priorities, visible movement, and a stronger sense of what happens next, especially when the work needs someone to turn decisions into a clear outcome.|This can make leadership feel easier when Results gives others something clear to orient around. It can become harder when the work needs more structure, future context, or people confidence than the outcome alone can provide, so Process, Vision, or People may need to be invited earlier.|active|leadership-approach::results_process_vision_people::concentrated
leadership-approach|results_process_vision_people|paired|results|process|vision|people|Results and Process may work as a close pair|You may recognise yourself in the way Results and Process come together under pressure. Others may experience clearer priorities, visible movement, and a stronger sense of what happens next, with Process helping the approach become more usable.|This can make leadership feel easier when the pair handles both the main pressure and the practical follow-through. It can become harder if the pair runs ahead of Vision or People, which may be the range that keeps the work rounded.|active|leadership-approach::results_process_vision_people::paired
leadership-approach|results_process_vision_people|graduated|results|process|vision|people|Your leadership may move from Results towards People|You may recognise yourself in a stepped leadership rhythm: Results starts the work, Process gives it more range, Vision adds support, and People may need to be brought in deliberately.|This can make leadership feel easier because the order gives you a natural sequence to follow. It can become harder if the later signals are left until the work has already narrowed, especially People.|active|leadership-approach::results_process_vision_people::graduated
leadership-approach|results_process_vision_people|balanced|results|process|vision|people|You may move between Results, Process, Vision, and People|You may recognise yourself in moving between several leadership routes rather than relying on only one. Results may appear first, but Process, Vision, and People can all become the right route when the situation changes.|This can make leadership feel easier because you have several usable routes into the work. It can become harder if you change route before others know which one matters now, so naming the current need becomes important.|active|leadership-approach::results_process_vision_people::balanced
leadership-approach|results_process_people_vision|concentrated|results|process|people|vision|You may be recognised for Results first|You may recognise yourself in the way you notice drift, slow decisions, or unclear ownership before anything else. Others may experience clearer priorities, visible movement, and a stronger sense of what happens next, especially when the work needs someone to turn decisions into a clear outcome.|This can make leadership feel easier when Results gives others something clear to orient around. It can become harder when the work needs more structure, future context, or people confidence than the outcome alone can provide, so Process, People, or Vision may need to be invited earlier.|active|leadership-approach::results_process_people_vision::concentrated
leadership-approach|results_process_people_vision|paired|results|process|people|vision|Results and Process may work as a close pair|You may recognise yourself in the way Results and Process come together under pressure. Others may experience clearer priorities, visible movement, and a stronger sense of what happens next, with Process helping the approach become more usable.|This can make leadership feel easier when the pair handles both the main pressure and the practical follow-through. It can become harder if the pair runs ahead of People or Vision, which may be the range that keeps the work rounded.|active|leadership-approach::results_process_people_vision::paired
leadership-approach|results_process_people_vision|graduated|results|process|people|vision|Your leadership may move from Results towards Vision|You may recognise yourself in a stepped leadership rhythm: Results starts the work, Process gives it more range, People adds support, and Vision may need to be brought in deliberately.|This can make leadership feel easier because the order gives you a natural sequence to follow. It can become harder if the later signals are left until the work has already narrowed, especially Vision.|active|leadership-approach::results_process_people_vision::graduated
leadership-approach|results_process_people_vision|balanced|results|process|people|vision|You may move between Results, Process, People, and Vision|You may recognise yourself in moving between several leadership routes rather than relying on only one. Results may appear first, but Process, People, and Vision can all become the right route when the situation changes.|This can make leadership feel easier because you have several usable routes into the work. It can become harder if you change route before others know which one matters now, so naming the current need becomes important.|active|leadership-approach::results_process_people_vision::balanced
leadership-approach|results_vision_process_people|concentrated|results|vision|process|people|You may be recognised for Results first|You may recognise yourself in the way you notice drift, slow decisions, or unclear ownership before anything else. Others may experience clearer priorities, visible movement, and a stronger sense of what happens next, especially when the work needs someone to turn decisions into a clear outcome.|This can make leadership feel easier when Results gives others something clear to orient around. It can become harder when the work needs more structure, future context, or people confidence than the outcome alone can provide, so Vision, Process, or People may need to be invited earlier.|active|leadership-approach::results_vision_process_people::concentrated
leadership-approach|results_vision_process_people|paired|results|vision|process|people|Results and Vision may work as a close pair|You may recognise yourself in the way Results and Vision come together under pressure. Others may experience clearer priorities, visible movement, and a stronger sense of what happens next, with Vision helping the approach become more usable.|This can make leadership feel easier when the pair handles both the main pressure and the practical follow-through. It can become harder if the pair runs ahead of Process or People, which may be the range that keeps the work rounded.|active|leadership-approach::results_vision_process_people::paired
