domain_key|pattern_key|strength_key|priority|strength_title|strength_text|linked_signal_key|status|lookup_key
leadership-approach|results_process_vision_people|strength_1|1|Clear movement|When this pattern is working well, Results gives leadership a clear line of movement. Decisions, owners, and next steps are easier to see, so the work is less likely to sit in drift or unresolved discussion.|results|active|leadership-approach::results_process_vision_people::strength_1
leadership-approach|results_process_vision_people|strength_2|2|Progress with a working method|Results and Process together can turn intention into progress people can follow. The strength is not just moving quickly; it is making the outcome, route, and handover clear enough for others to carry.|process|active|leadership-approach::results_process_vision_people::strength_2
leadership-approach|results_process_vision_people|strength_3|3|Range through stronger trust after Vision|Vision can broaden the first two signals before People is brought in deliberately. People adds range when the pattern has movement, structure, or direction and now needs better communication around the human impact. It can make progress more sustainable because people understand their part in the work.|people|active|leadership-approach::results_process_vision_people::strength_3
leadership-approach|results_process_people_vision|strength_1|1|Clear movement|When this pattern is working well, Results gives leadership a clear line of movement. Decisions, owners, and next steps are easier to see, so the work is less likely to sit in drift or unresolved discussion.|results|active|leadership-approach::results_process_people_vision::strength_1
leadership-approach|results_process_people_vision|strength_2|2|Progress with a working method|Results and Process together can turn intention into progress people can follow. The strength is not just moving quickly; it is making the outcome, route, and handover clear enough for others to carry.|process|active|leadership-approach::results_process_people_vision::strength_2
leadership-approach|results_process_people_vision|strength_3|3|Range through wider direction after People|People can broaden the first two signals before Vision is brought in deliberately. Vision adds range when the pattern is handling people, structure, or delivery and now needs a stronger reason for the work. It can lift the decision from the immediate task to meaning and future consequence.|vision|active|leadership-approach::results_process_people_vision::strength_3
leadership-approach|results_vision_process_people|strength_1|1|Clear movement|When this pattern is working well, Results gives leadership a clear line of movement. Decisions, owners, and next steps are easier to see, so the work is less likely to sit in drift or unresolved discussion.|results|active|leadership-approach::results_vision_process_people::strength_1
leadership-approach|results_vision_process_people|strength_2|2|Progress with direction|Results and Vision together can connect action to a bigger reason. The strength is that decisions are not only made; they are tied to a direction people can understand beyond the immediate task.|vision|active|leadership-approach::results_vision_process_people::strength_2
leadership-approach|results_vision_process_people|strength_3|3|Range through stronger trust after Process|Process can broaden the first two signals before People is brought in deliberately. People adds range when the pattern has movement, structure, or direction and now needs better communication around the human impact. It can make progress more sustainable because people understand their part in the work.|people|active|leadership-approach::results_vision_process_people::strength_3
leadership-approach|results_vision_people_process|strength_1|1|Clear movement|When this pattern is working well, Results gives leadership a clear line of movement. Decisions, owners, and next steps are easier to see, so the work is less likely to sit in drift or unresolved discussion.|results|active|leadership-approach::results_vision_people_process::strength_1
leadership-approach|results_vision_people_process|strength_2|2|Progress with direction|Results and Vision together can connect action to a bigger reason. The strength is that decisions are not only made; they are tied to a direction people can understand beyond the immediate task.|vision|active|leadership-approach::results_vision_people_process::strength_2
leadership-approach|results_vision_people_process|strength_3|3|Range through clearer structure after People|People can broaden the first two signals before Process is brought in deliberately. Process adds range when the pattern has energy, meaning, or commitment and now needs a more dependable way to hold the work. It can turn shared intent into steps, standards, and cleaner handover.|process|active|leadership-approach::results_vision_people_process::strength_3
leadership-approach|results_people_process_vision|strength_1|1|Clear movement|When this pattern is working well, Results gives leadership a clear line of movement. Decisions, owners, and next steps are easier to see, so the work is less likely to sit in drift or unresolved discussion.|results|active|leadership-approach::results_people_process_vision::strength_1
leadership-approach|results_people_process_vision|strength_2|2|Progress with commitment|Results and People together can make movement feel both clear and human. The strength is that decisions, ownership, and follow-through are held alongside trust, communication, and shared commitment.|people|active|leadership-approach::results_people_process_vision::strength_2
leadership-approach|results_people_process_vision|strength_3|3|Range through wider direction after Process|Process can broaden the first two signals before Vision is brought in deliberately. Vision adds range when the pattern is handling people, structure, or delivery and now needs a stronger reason for the work. It can lift the decision from the immediate task to meaning and future consequence.|vision|active|leadership-approach::results_people_process_vision::strength_3
leadership-approach|results_people_vision_process|strength_1|1|Clear movement|When this pattern is working well, Results gives leadership a clear line of movement. Decisions, owners, and next steps are easier to see, so the work is less likely to sit in drift or unresolved discussion.|results|active|leadership-approach::results_people_vision_process::strength_1
leadership-approach|results_people_vision_process|strength_2|2|Progress with commitment|Results and People together can make movement feel both clear and human. The strength is that decisions, ownership, and follow-through are held alongside trust, communication, and shared commitment.|people|active|leadership-approach::results_people_vision_process::strength_2
